N1;N2;N3;N4;N5;N6;E1;E2;E3;E4;E5;E6;O1;O2;O3;O4;O5;O6;A1;A2;A3;A4;A5;A6;C1;C2;C3;C4;C5;C6
14;17;13;13;23;6;24;30;31;32;24;27;25;28;30;19;30;24;22;10;20;13;7;19;26;16;17;27;20;12
11;8;11;8;11;5;31;25;26;23;24;26;23;31;29;14;30;17;25;26;25;20;18;23;25;24;31;28;27;26
19;7;19;23;20;15;21;13;12;13;17;16;25;18;21;10;24;21;24;22;17;16;17;18;17;15;20;17;17;15
13;15;14;17;20;5;28;27;28;25;25;30;21;27;31;21;27;27;26;13;23;15;8;26;26;13;23;20;22;14
15;19;16;17;25;11;24;29;26;21;13;28;28;19;28;15;14;14;13;9;16;6;18;17;18;10;10;11;4;11
26;6;28;17;24;19;20;16;15;14;13;23;25;22;27;20;21;28;26;17;19;16;14;20;17;23;12;17;9;12
14;11;15;18;20;10;18;21;20;23;17;22;23;26;21;22;23;26;21;17;18;13;11;22;20;7;10;16;14;16
17;32;19;28;30;16;21;22;19;28;25;10;27;25;28;24;19;16;12;13;21;2;21;23;16;20;24;25;21;2
14;18;11;11;25;12;26;28;22;21;19;27;29;19;27;19;18;18;18;10;20;10;18;25;13;12;18;11;13;8
13;4;6;6;10;1;28;23;27;25;15;27;23;29;29;18;29;27;28;26;28;19;19;24;28;28;28;29;27;25
16;8;11;11;16;12;27;21;9;28;19;26;30;24;26;15;7;20;25;23;26;17;17;23;15;20;25;21;21;19
24;14;22;18;28;10;24;21;14;12;19;23;28;17;25;14;19;22;20;22;23;18;18;22;11;10;17;9;12;7
8;9;5;11;13;7;28;27;25;25;22;26;14;18;22;23;19;23;22;15;22;16;13;22;26;26;26;24;26;23
28;22;25;19;31;14;17;18;13;19;24;22;28;27;26;20;17;25;7;6;12;16;16;10;18;24;11;14;23;1
5;11;3;6;28;12;27;25;16;20;28;32;27;25;22;17;15;24;18;4;25;8;2;19;12;10;8;6;10;2
14;29;19;16;30;15;28;28;28;31;30;30;26;22;20;6;18;14;6;2;16;2;3;24;11;3;9;8;7;4
6;10;12;10;16;6;23;16;13;21;17;23;20;25;26;15;25;18;19;23;22;16;15;19;23;24;26;22;24;22
19;15;18;14;NA;12;24;23;14;15;15;24;11;NA;NA;9;19;18;19;19;19;18;16;NA;18;18;NA;17;14;15
23;16;21;20;22;10;25;24;10;11;27;24;19;28;26;15;27;21;29;21;21;13;25;28;14;21;24;23;15;11
11;22;16;8;23;3;18;20;24;17;23;24;31;29;29;17;29;18;15;9;16;10;8;23;18;5;17;14;11;12
17;14;14;14;12;16;21;19;15;17;15;28;7;18;12;14;22;25;16;18;7;10;15;NA;4;19;9;13;7;23
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;9;9;12;14;5;16;20;20;25;19;20;14;15;22;17;12;24;17;26;23;12;26;20;28;25;23;27;27;27
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
