"","partei","vanus","sugu","aastaid_koolis"
"703","Kesk",30,"N",14
"705","Reform",56,"M",12
"706","Kesk",36,"N",12
"707","Reform",38,"M",12
"709","Kesk",55,"N",12
"712","Reform",46,"M",10
"713","Reform",35,"M",12
"717","Reform",38,"N",13
"718","Kesk",42,"M",10
"719","Kesk",50,"N",11
"720","Kesk",49,"N",11
"725","Reform",42,"M",11
"728","Kesk",57,"N",11
"730","Reform",52,"M",12
"732","IRL",53,"M",11
"736","Kesk",42,"N",11
"738","IRL",30,"N",13
"742","Reform",57,"N",11
"745","Reform",50,"M",11
"748","Reform",53,"M",13
"751","Reform",58,"N",12
"752","Reform",39,"M",18
"755","Reform",39,"M",12
"756","Reform",38,"N",11
"758","IRL",41,"M",13
"759","Kesk",42,"M",11
"760","IRL",44,"M",12
"764","IRL",54,"N",12
"765","Reform",38,"M",13
"770","Kesk",46,"M",10
"772","Kesk",37,"N",12
"775","Kesk",39,"M",12
"779","Reform",31,"N",11
"780","Kesk",48,"N",10
"781","Kesk",47,"N",13
"785","Reform",44,"N",11
"794","Reform",53,"N",11
"795","Kesk",34,"N",11
"797","Kesk",51,"N",11
"798","Kesk",39,"N",10
"801","Reform",34,"M",16
"805","IRL",49,"M",12
"806","Reform",56,"N",12
"807","Reform",42,"M",11
"808","Kesk",54,"N",11
"809","Kesk",46,"M",12
"810","Reform",47,"N",12
"813","Kesk",43,"M",11
"814","Kesk",30,"N",11
"819","Reform",47,"M",11
"820","IRL",30,"M",13
"821","IRL",42,"N",15
"822","Reform",47,"N",16
"823","Reform",55,"N",11
"825","IRL",30,"N",13
"826","Reform",38,"N",11
"837","Reform",35,"M",15
"838","Reform",40,"M",11
"839","Kesk",48,"N",13
"840","IRL",52,"M",11
"846","IRL",46,"N",13
"847","Kesk",42,"M",11
"848","Reform",36,"N",16
"861","Kesk",53,"N",12
"864","Kesk",45,"N",13
"866","Kesk",40,"M",11
"867","Kesk",59,"N",11
"868","Kesk",58,"N",11
"870","Kesk",44,"N",11
"871","Reform",38,"M",12
"872","Kesk",33,"N",12
"874","Reform",38,"N",12
"875","IRL",45,"M",11
"878","Reform",42,"N",11
"881","Kesk",57,"M",12
"890","Reform",68,"N",10
"891","Kesk",80,"M",11
"893","Reform",65,"N",12
"894","Reform",71,"N",11
"895","Kesk",75,"N",11
"896","IRL",90,"N",11
"898","Kesk",65,"M",13
"900","Reform",77,"N",10
"901","Reform",75,"N",11
"903","IRL",68,"N",11
"906","IRL",70,"M",10
"907","Reform",84,"M",10
"909","Reform",69,"M",21
"911","IRL",63,"N",14
"913","Reform",81,"N",10
"914","Kesk",72,"N",11
"915","Kesk",63,"M",14
"917","IRL",63,"M",11
"922","IRL",66,"M",8
"923","Kesk",61,"N",14
"924","IRL",70,"N",11
"925","IRL",67,"N",10
"926","Reform",77,"M",12
"927","Reform",65,"N",12
"928","IRL",72,"M",11
"929","Kesk",77,"M",13
"930","Kesk",70,"N",11
"932","Kesk",80,"N",10
"933","Reform",81,"N",12
"934","Kesk",67,"M",10
"935","Kesk",79,"N",6
"937","Kesk",69,"N",11
"938","Reform",76,"M",11
"939","Reform",67,"N",14
"943","Kesk",69,"N",11
"945","Kesk",73,"M",16
"948","Kesk",70,"N",11
"951","Reform",65,"N",11
"954","Reform",64,"M",12
"955","Kesk",77,"M",12
"962","Reform",67,"N",12
"963","Kesk",77,"M",13
"964","Kesk",63,"N",14
"965","IRL",68,"M",11
"967","Reform",63,"N",11
"969","Reform",73,"M",11
"971","Reform",69,"N",11
"972","IRL",71,"M",10
"976","Kesk",89,"N",9
"979","Kesk",73,"N",11
"981","IRL",68,"N",11
"983","IRL",79,"N",13
"984","Kesk",72,"N",11
"985","Reform",82,"N",13
"986","Reform",63,"M",12
"987","Reform",70,"M",13
"990","IRL",69,"N",10
"991","IRL",71,"N",15
"995","Reform",65,"N",11
"996","Kesk",69,"N",11
"998","Reform",71,"M",12
"1000","Reform",74,"M",11
"1002","IRL",70,"M",11
"1007","Kesk",73,"N",10
"1012","Kesk",62,"N",14
"1016","Kesk",61,"M",14
"1018","Kesk",64,"M",13
"1019","Kesk",75,"M",11
"1021","Kesk",85,"N",11
"1022","Kesk",62,"N",10
"1023","IRL",67,"M",11
"1029","Reform",62,"N",13
"1030","IRL",67,"N",11
"1036","Kesk",60,"N",11
"1043","Kesk",63,"M",11
"1046","Kesk",72,"N",12
"1048","IRL",69,"M",10
"1054","Reform",29,"M",14
"1058","Reform",26,"N",15
"1060","Reform",26,"M",16
"1061","Reform",29,"N",15
"1063","Kesk",25,"M",14
"1069","Reform",27,"N",15
"1070","Reform",24,"N",15
"1071","Kesk",22,"N",14
"1072","Reform",24,"N",14
"1075","Reform",22,"M",12
"1082","Reform",22,"M",14
"1083","Kesk",59,"N",12
"1085","Reform",59,"N",15
"1087","Reform",58,"M",14
"1089","Reform",51,"N",13
"1091","Reform",46,"N",13
"1097","Kesk",32,"M",12
"1098","Kesk",38,"N",13
"1103","Reform",49,"N",14
"1104","Reform",31,"N",15
"1110","IRL",31,"N",17
"1111","Kesk",56,"N",13
"1117","Reform",44,"M",12
"1118","Reform",34,"M",15
"1121","Reform",53,"N",14
