"","PVMATH","PVREAD","PVSCIE","GENSCIE","INSTSCIE","INTSCIE","JOYSCIE","PERSCIE","SCIEEFF","SCIEFUT","SCSCIE","GR","GENDER"
"4149",466.73158,465.01334,494.90134,1.2211,-2.1025,-0.3854,-0.5825,1.8101,1.8333,-1.4186,-0.5445,"9","M"
"4150",462.29166,483.78226,487.44154,1.3753,-2.1025,-0.3854,-0.8455,-1.0855,-0.2283,-1.4186,-2.3632,"9","M"
"4151",546.57266,474.79884,501.7084,1.3753,-2.1025,-0.3854,-1.0972,-1.3625,0.3184,-1.4186,-1.0946,"9","M"
"4152",417.97008,384.08236,481.4737,1.3753,-2.1025,0.0663,-1.6338,0.0553,0.9564,-1.4186,0.652,"9","M"
"4153",515.49308,482.98018,515.50902,1.3753,-2.1025,1.2039,1.623,0.3867,-0.8968,-0.9769,1.3981,"8","M"
"4154",493.83858,472.3926,458.90784,1.3753,-1.6958,-0.71,-2.1517,-1.3625,-0.3985,-1.4186,-1.9401,"9","M"
"4155",534.42124,461.48414,522.22284,1.3753,-1.6958,0.5158,0.5391,-0.811,-0.2283,-1.4186,0.3107,"9","M"
"4156",528.03396,578.18642,561.5732,1.3753,-1.4615,-0.082,0.5391,0.0553,1.2058,-0.4171,0.0752,"9","F"
"4157",486.2829,578.98086,514.94952,1.3753,-1.2638,0.0663,0.1728,0.0553,0.7293,-0.9769,-0.5445,"10","F"
"4158",524.8403,490.03858,525.02022,1.3753,-1.2638,0.0663,-0.5825,1.0558,0.5179,-0.0492,0.652,"9","M"
"4159",477.87036,489.3664,539.93982,1.3753,-1.2638,0.8382,0.1728,-0.811,0.7293,-1.4186,-0.1237,"9","F"
"4160",558.64622,606.78678,590.01364,1.3753,-1.0645,-0.544,-0.3437,-0.2497,0.3184,-0.6938,0.3107,"9","F"
"4161",500.61536,516.34716,542.55074,1.3753,-1.0645,-0.544,0.1728,-1.3625,-0.2283,-0.0492,0.0752,"8","M"
"4162",567.91556,624.42366,630.38978,1.3753,-1.0645,-0.3854,-0.5825,-0.811,0.3184,-0.6938,-0.1237,"9","F"
"4163",602.18882,568.17628,610.99432,1.3753,-1.0645,-0.082,0.5391,0.7259,-0.053,-0.9769,0.652,"9","F"
"4164",555.14096,599.3189,566.23558,1.3753,-1.0645,-0.082,-0.8455,0.3867,-0.2283,-0.9769,-0.5445,"9","F"
"4165",487.91868,471.80896,551.78226,1.3753,-1.0645,0.5158,-0.5825,-0.2497,1.2058,-0.6938,1.8266,"9","F"
"4166",533.64232,524.4813,555.88514,1.3753,-1.0645,0.8382,0.1728,0.0553,0.3184,-1.4186,1.3981,"9","F"
"4167",548.44212,531.74732,561.66646,1.3753,-0.8455,-1.8441,-1.7493,-0.2497,-0.5654,-1.4186,-2.3632,"9","M"
"4168",570.40814,582.47646,613.41876,1.3753,-0.8455,-1.5369,-0.8455,0.0553,1.49,-1.4186,0.3107,"9","F"
"4169",584.5848,510.41168,549.07808,1.3753,-0.8455,-0.544,-2.1517,-0.5345,-0.2283,-1.4186,-0.1237,"9","M"
"4170",635.21576,601.52922,589.82716,1.3753,-0.8455,-0.3854,0.1728,-0.2497,0.9564,-1.4186,0.3107,"9","M"
"4171",456.13806,422.58276,473.26796,1.3753,-0.8455,-0.232,-0.1028,-0.2497,-0.2283,-1.4186,-0.3218,"7","M"
"4172",537.92648,540.37038,532.5733,1.3753,-0.8455,-0.082,-0.5825,-0.5345,1.49,-1.4186,0.0752,"9","F"
"4173",546.26108,523.88682,561.29348,1.3753,-0.8455,0.2143,-0.8455,0.7259,0.1288,-0.4171,0.3107,"9","M"
"4174",440.01402,447.2603,449.30334,1.3753,-0.8455,0.2143,-0.5825,-0.811,0.3184,-0.4171,-1.504,"9","F"
